Gene,memory_vs_intermediate_stat,memory_vs_effector_stat,intermediate_vs_effector_stat
Katna1,-1.0044749869373772,-1.4425343399498685,-0.36889244845040997
Pcmt1,-1.8142437107731098,-3.063271661366215,-1.1235381041149006
Lrp11,-1.1672295784300355,0.7336143387482031,1.9832176988938195
1700021F05Rik,-1.9734588514672,-2.810563977906035,-0.7036882503323791
Sec63,0.672081756802673,2.213714197213282,1.4959085991359051
Nr2e1,0.2836083539133634,-8.353561444888554e-4,-0.30487262365451867
Snx3,-2.5944797754566347,-1.0216259289508673,1.7517303239651492
Aig1,-1.0700445955601465,2.499254187360855,3.6317869425926252
Adat2,0.23856318739457377,2.5514066425843107,2.2898328623996096
Pex3,2.6634896167128983,-1.3099705747555006,-4.137491730049638
Fuca2,1.0272336924142467,1.30128350368526,0.2035671094287541
Cep57l1,-0.17796625718775447,3.420348955937928,3.602456667248113
Ltv1,0.8239511995144787,2.1798818212663007,1.2966346754575366
Plagl1,-0.6871638479217521,-0.886866007399835,-0.15375437030050595
Cd164,1.2763307953267038,-0.5934766874479602,-1.9575690785572728
Utrn,2.1159913819604714,4.144258886931712,1.881746182759313
Smpd2,-0.9500355033074585,-5.326464082119967,-4.315396240210148
Mical1,-1.7931858215200187,-3.518587710581615,-1.6014571231775105
Zbtb24,0.11841928414123011,-2.463140389112857,-2.5854611143113657
Rab32,0.839424665132064,6.064569601477254,5.186364426553415
Gtf3c6,-1.1226406323821432,-2.198617847444202,-0.9979429206865376
Slc16a10,-2.3982052123198563,2.069866235019393,4.546830048356075
Rev3l,-0.6662975741629323,-1.0008662265331723,-0.28906733826175657
Traf3ip2,1.6355338473059162,3.398231358701794,1.6506837704010358
Fyn,-2.7037078295714725,-2.2321832223503453,0.6583943102169639
Tube1,-1.2419396822562845,5.3437092422173516,6.654607929932552
Prep,-0.6974191985445805,3.640031368694562,4.382752828081195
Tnfaip3,1.4552237268158517,-1.8987526578089284,-3.4512714213620255
Perp,-1.74608103672624,1.9879470000259776,3.847446511677785
Reps1,-2.542945891350866,-3.6948865635565546,-0.9777613268544081
Fam184a,0.13806896634581103,-0.27746393254761514,-0.41912888941618404
Asf1a,-0.05539587394983431,2.0534850534766886,2.1116409286022324
Gopc,-1.8089464128303583,-4.809177121490552,-2.881086429482612
Qrsl1,-1.1290829176653947,1.7285368471654898,2.930187345335158
Rtn4ip1,1.621317174267614,3.251743950027128,1.50707878031019
Aim1,-1.4393657668027537,-5.122504560524764,-3.583801024515461
Gje1,0.17244394833491336,-0.18079962910766506,-0.364067198374951
Vta1,-1.5409897459763209,-1.7448612663533274,-0.09772883313553503
Smpdl3a,0.022932657359932534,0.8151126973644476,0.7903616987226676
Reep3,-1.0956806852302345,-4.198267247830103,-3.026378223477892
Pkib,3.250976459664055,4.837906487581855,1.3593383033202473
Serinc1,0.7130938916575118,-3.8120703295920304,-4.572378602220606
Hsf2,0.08720809818536834,-0.32844202720973514,-0.42097392836570036
Echdc1,0.9070746659664346,2.629989946875055,1.654533938022614
Mgat4c,-0.8305323230466479,-1.0889300558464532,-0.20536272624259924
Ptprk,-5.317262840201097,-2.7275643376527032,2.9658967714060105
Dcbld1,-0.29232344220102735,0.9835766698079288,1.2879927155999882
Ccdc59,-0.8756676954498872,-1.4107465856272696,-0.4727940157848546
Lama2,0.17079272207841614,-0.6571904405759824,-0.8253569073049164
Ppp1r12a,0.8958630974522901,-7.402147843645152,-8.353842453363715
P4ha1,-2.011533806649747,-3.8759407786175304,-1.725025131229726
Sept10,-1.796460655278561,-0.08198610038267214,1.8386687919363298
Lims1,1.75781237033468,4.218784172963521,2.3301476648391652
Zwint,-0.07689862924051562,-1.1904485022094888,-1.1079218529739876
Ube2d1,0.3337254461156345,-7.179233336754319,-7.5178240356673
Mrln,-0.004245088338866259,-0.07906065189922483,-0.07353673753396019
Slc17a8,0.6713247345789491,-0.7204324448628127,-1.4246206178563925
Cdk1,-2.6409318680809597,6.9129587648556425,9.72847343130041
Atp2b1,-1.398253287557483,-5.739956274571146,-4.244834204580557
Rhobtb1,0.9564999641265858,4.618978021921446,3.67707834042871
1700040L02Rik,1.0584628677509402,2.366332870742905,1.3001433406515053
Arid5b,0.97409843960351306,1.0967387287831938,0.05483009189667932
Actr6,0.8982008344752466,-1.7324229095251182,-2.688341985743439
Uhrf1bp1l,1.539748827497773,-2.9520955355488545,-4.594394068671994
Poc1b,-0.317223197795957,-1.1658047982334712,-0.8254508537513542
Dusp6,3.8215237655557783,9.620793406110286,5.560020057418053
Tmpo,-3.221665816061413,3.5506805869564713,6.991138197706066
Kitl,-2.2119447891017776,1.31568917821185,3.6887894167557977
Psen1,0.10099812316750982,0.3482642756237088,0.24019514060527078
Sgk1,-0.7918354274884369,-5.893293002264783,-5.046525066142782
Cep290,0.5386775750398873,0.353740599792633,-0.22224397111685315
Ikbip,0.1391439958826677,0.8353069892843213,0.6868924680648955
Hbs1l,0.6141015028693285,0.375365917796568,-0.2811104102055391
Epb4.1l2,-0.9397581787454737,3.2237602705131714,4.225303088656795
Apaf1,-1.8215700835168769,-0.21185884495485968,1.7340374011016144
Myb,1.097575851311642,8.10501040074001,7.089212512470252
Med23,-0.12234709338537768,-0.8308765691683025,-0.6936057838605961
Ahi1,-0.7900951417929872,-1.3362707888892869,-0.4905164045808104
Arg1,0.4880943629500421,-1.1446861193132525,-1.629460773641173
Nedd1,-0.637702399135897,-0.9549079123533332,-0.27309484617862745
Mtfr2,-1.7681222012311792,4.241061014696327,6.04183474367192
Map7,1.3281888762334115,2.203870346643669,0.7843806914092082
Stx7,-0.04365638874165832,-1.4998522825641791,-1.4519831157993255
Pex7,-1.7026334861836316,0.5370011401967635,2.3533004566017675
Il20ra,-0.21816978554128422,2.954598036431579,3.174022291606991
Ifngr1,1.9140869254752235,-2.382344385492606,-4.427810868514539
Vnn3,-2.7666429225363087,1.7294442294181922,4.111728827333751
Cfap54,0.747757919364828,0.5107567094517874,-0.27595653661559516
Cdk17,0.90086508419182,-1.6054320507652093,-2.5648621971791403
Hal,-0.410837701425609,-2.3103969536882927,-1.8372694242914465
